"Data S1. Descriptions of the location, keystone characteristics, and community response for each study included.  ",,,,,,,,,,,,
,,,,,,,,,,,,
id,Latin name of keystone species,Common name of keystone species,Citation,Location,Keystone Role,Human Disturbance Context,Trophic level (simplified),Community Response Category,Body mass (g),Effect Size (RR),Variance of effect size,Data Extraction & Comparisons
23,Castor fiber,Eurasian Beaver,Law et al. 2019; Diversity and Distributions,South-central Sweden,modifier,Direct removal,low,Biodiversity,19000,0.96,1.33,Beetle species richness in beaver-present ponds vs beaver absent ponds with data from Table 1.
24,Castor fiber,Eurasian Beaver,Law et al. 2019; Diversity and Distributions,South-central Sweden,modifier,Direct removal,low,Biodiversity,19000,0.14,0.02,Aquatic plant species richness in beaver-present ponds vs beaver-absent ponds with data from Table 1.
25,Chaetodipus baileyi,Bailey's Pocket Mouse,Ernest and Brown 2001; Science,Southwestern USA,modifier,Data Deficient,low,Chemical and energy cycling,26.3,0.15,0.02,Percentage of previous kangaroo rat energy cycling compensated by pocket mice in high (historic) and low (current) kangaroo rat presence with data from Figure 2. 
26,Cottus gobio,European Bullhead,Woodward et al. 2008; Oikos,"Southern England, UK",consumer,Data Deficient,low,Abundance,17.66,3.05,1,Trout density between low and high bullhead density with data from Figure 1.
27,Cottus gobio,European Bullhead,Woodward et al. 2008; Oikos,"Southern England, UK",consumer,Data Deficient,low,Chemical and energy cycling,17.66,1.16,0.1,Mean decomposition rates (metric) of oak leaves in bullhead-present vs. absent (exclosure) areas with data from Figure 4.  
28,Cynomys ludovicianus,Black-tailed Prairie Dog,Duchardt. et al 2021; Ecology,"Wyoming, USA",modifier,Indirect removal,low,Abundance,958,0.89,0.1,Mean bird abundances in high and low prairie dog burrow densities with data from Figure 3.
29,Cynomys ludovicianus,Black-tailed Prairie Dog,Cully Jr. et al 2010; Ecography,"Western Great Plains, USA",modifier,Indirect removal,low,Abundance,958,1.17,0.4,Average small mammal abundance data from Table 2. in high prairie dog densities (on colony) and low densities (off-colony).
30,Dascyllus trimaculatus,Three Spotted Damselfish,Hinds and Ball 1987; Aquatic Botany,"Off the coast of La Parguera, Puerto Rico",modifier,Direct removal,low,Biodiversity,86,0.44,0.25,Algal species richness between damselfish present vs. absent (exclosure) sites with data from Figure 2.  
31,Dascyllus trimaculatus,Three Spotted Damselfish,Axline-Minotti 2003; Msc. Diss. Ohio State University,Caribbean barrier reefs,modifier,Direct removal,low,Biodiversity,86,0.84,1.33,Percentage of algal cover in a damselfish presence vs. absence from Figure 5.1
32,Dipodomys ordii,Ord's Kangaroo Rat,Kerley et al. 1997; Oecologia,"Chihuahuan Desert, USA",modifier,Not Known,low,Abundance,60.4,5.45,1.33,Mass of new plant growth cut in kangaroo rat present vs absent (exclosure) areas from Table 2. 
33,Dipodomys spectabilis,Banner-tailed kangaroo rat,Krogh et al 2002; Journal of Arid Environments,"South Central New Mexico, USA",modifier,Indirect removal,low,Abundance,136,3.26,1.33,Proportion of shrubland cover in kangaroo rat present vs absent (abandoned) sites from Figure 3.
34,Dipodomys stephensi,Stephen's Kangaroo Rat,Brock and Kelt 2004; Biological Conservation,"California, USA",modifier,Indirect removal,low,Abundance,69.8,1.08,1.33,Density of ground cover in kangaroo rat present vs. absent (exclosure) sites with data from Figure 1.  
35,Enhydra lutris,Sea Otter,Konar 2000; Marine Ecology Progress Series,Westen USA,consumer,Direct removal,low,Abundance,23500,0.62,1.97,Average number of kelp stipes in high (historic) and low (current) sea otter presence from Figure 7. 
36,Eschrichtius robusta,Gray Whale,Oliver and Slattery 1985; Ecology,"Western Vancouver Island, Canada",modifier,Direct removal,low,Abundance,28500000,3.87,1.76,Total amphipod abundance in high (on whale excavation sites) and low (off whale excavation sites) whale presence with data from Figure 3.
37,Esox lucius,Northern Pike,Spens and Ball 2008; Canadian Journal of Fisheries and Aquatic Sciences,Northern Sweden,consumer,Not Known,high,Chemical and energy cycling,35000,0.26,0.03,Total phosphorus in pike present vs. absent lakes from the Results section.
38,Esox lucius,Northern Pike,Spens and Ball 2008; Canadian Journal of Fisheries and Aquatic Sciences,Northern Sweden,consumer,Not Known,high,Abundance,35000,0.64,0.07,Total fish abundance in pike present vs. absent lakes from the Results section.
39,Esox lucius,Northern Pike,Venturelli and Tonn 2005; Journal of the North American Benthological Society,"Northern Alberta, Canada",consumer,Not Known,high,Abundance,35000,0.98,0.83,Mean amphipod abundance in pike presence vs absence with data from Figure 3.
40,Eupomacent-rus planifrons,Threespot Damselfish,Williams 1990; The American Naturalist,"Discovery bay, Jamaica",modifier,Direct removal,low,Abundance,7.92,0.67,1.66,Mean urchin density in damselfish presence and absence (removal) with data from Figure 1.
41,Gadus morhua,Atlantic Cod,Worm and Meyers 2003; Ecology,North Atlantic Ocean,consumer,Data Deficient,low,Abundance,96000,0.64,0.12,Mean crustacean biomass in high (historic) and low (current) densities of cod with data from Figure 3.  
42,Galeocerdo cuvier,Tiger Shark,Myers et al. 2007; Science,"Off the shores of North Carolina, USA",consumer,Direct removal,high,Abundance,807400,2.32,0.1,Average presence  of elasmobranch mesopredators  in a high (historic and low (current)  shark presence from Fig. 1.
43,Geomys busarius,Plains Pocket Gopher,Rogers et al 2013; The American midland Naturalist,"Kansas, USA",modifier,Direct removal,low,Abundance,204,0.21,1.64,Mean grass abundance in high vs. low pocket gopher burrow presence from Table 1.
44,Gopherus polyphemus,Gopher tortoise,Catano and Stout 2015; Biodiversity and Conservation,"Florida, USA",modifier,Data Deficient,low,Biodiversity,5500,1.08,1.7,Mean species diversity in a gradient away from gopher tortoise burrows from Figure 2.
45,Haematopus bachmani,Black oystercatcher,Lindberg et al. 1987;Marine Ecology Progress Series,"San Nicholas Island, USA",consumer,Indirect removal,mid,Abundance,692,0.04,1.58,Average percentage of limpets eaten in the presence and absence of black oystercatchers with data from Table 2.
46,Lepus americanus,Snowshoe hare,Peers et al. 2020; Journal of Animal Ecology,"Yukon, Canada",prey,Indirect removal,low,Chemical and energy cycling,1710,1.38,1.66,Proportion of lynx carcasses scavenged in a  high (historic) and low (current) lynx presence with data from Supplementary Table 1. 
47,Loxodonta africana,African elephant,Dublin 1990; Journal of Animal Ecology,"Serengeti, Kenya",modifier,Indirect removal,low,Landscape Effects,3940034,2.51,1.66,Average Serengeti burn rate (metric) in high (historic) and low (current) elephant presence with data from Table 3.  
48,Lynx pardinus,Iberian lynx,Palomares et al 1994; Conservation Biology,"Donana National Park, Spain",consumer,Indirect removal,high,Abundance,9400,1.38,0.5,Average annual proportion of small rabbits consumed in a gradient of lynx presence with data from Table 1.
49,Macrotis lagotis,Greater Bilby,James and Eldridge 2007; Biological Conservation,Central Australia,modifier,Indirect removal,low,Chemical and energy cycling,1350,0.6,0.83,Concentrations of labile carbon (metric) in the soil in bettong present vs absent areas from Figure 3.
50,Megaptera novaeangliae,Humpback Whale,Nicol et al. 2010; Fish and Fisheries,Southern Ocean,modifier,Indirect removal,high,Chemical and energy cycling,30000000,0.19,0.11,Amount of iron deposition (metrice) in high (historic) and low (current) whale presence from Table 1. 
51,Micropterus salmoides,Largemouthed Bass,Mittelbach et al. 1995; Ecology,"Michigan, USA",consumer,Data Deficient,low,Abundance,10100,2.99,1.66,Mean copepod and Cladocera length high (current) and low (historic) bass presence with data from Figure 6.
52,Micropterus salmoides,Largemouthed Bass,Carpenter et al. 1987; Ecology,"Indiana, USA",consumer,Data Deficient,low,Chemical and energy cycling,10100,0.06,0.11,Average primary production (metric) in bass present vs absent lakes with data from Figure 6.
